state_index,episode_id,t_in_episode,task_name,instruction,num_points,action_dim,k,total_variance,weighted_incluster_variance,variance_drop,r2,calinski_harabasz,silhouette,best_k,gaussian_baseline_drop,pass_gaussian,beat_margin
6471,ep000024,872,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,6,2.467902749126551,0.3831265237993312,2.08477622532722,0.8447562312028183,809.6925768866117,0.3239654808108813,False,0.21563310990881038,True,1.976959670372815
6471,ep000024,872,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,5,2.467902749126551,0.444961200724986,2.022941548401565,0.8197006746386306,846.7544198817928,0.3582300383235661,False,0.19795347132195812,True,1.923964812740586
6471,ep000024,872,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,5,2.467902749126551,0.444961200724986,2.022941548401565,0.8197006746386306,846.7544198817928,0.3582300383235661,True,0.19795347132195812,True,1.923964812740586
6471,ep000024,872,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,4,2.467902749126551,0.5757186062632336,1.8921841428633173,0.7667174662911681,817.2796890816649,0.4133155903723579,False,0.1706089429328274,True,1.8068796713969035
6472,ep000024,873,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,5,2.304773814518975,0.5164679894403279,1.788305825078647,0.7759138071654468,644.9033952362322,0.3659575608388553,True,0.19795347132195812,True,1.689329089417668
6472,ep000024,873,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,5,2.304773814518975,0.5164679894403279,1.788305825078647,0.7759138071654468,644.9033952362322,0.3659575608388553,False,0.19795347132195812,True,1.689329089417668
6472,ep000024,873,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,6,2.304773814518975,0.5589898282368575,1.7457839862821174,0.7574643443467257,464.7180396433029,0.3352084273425038,False,0.21563310990881038,True,1.6379674313277122
4306,ep000017,74,b'',b'',750,8,6,2.030009990435272,0.3500471963532883,1.679962794081984,0.8275638060883476,714.1278843642164,0.4435931895444802,False,0.21563310990881038,True,1.5721462391275787
6472,ep000024,873,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,4,2.304773814518975,0.6522214266840712,1.6525523878349038,0.7170128267791888,630.0539616801001,0.4220415925258868,False,0.1706089429328274,True,1.56724791636849
4306,ep000017,74,b'',b'',750,8,5,2.030009990435272,0.4043117670657759,1.6256982233694963,0.8008326220211932,748.893103705561,0.4232194891186321,True,0.19795347132195812,True,1.5267214877085173
4306,ep000017,74,b'',b'',750,8,5,2.030009990435272,0.4043117670657759,1.6256982233694963,0.8008326220211932,748.893103705561,0.4232194891186321,False,0.19795347132195812,True,1.5267214877085173
4306,ep000017,74,b'',b'',750,8,4,2.030009990435272,0.5131140447969076,1.5168959456383646,0.747235704644544,735.1220694638579,0.3835679878493674,False,0.1706089429328274,True,1.4315914741719509
6470,ep000024,871,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,6,1.880848554370647,0.3881019140621082,1.4927466403085388,0.7936559468542795,572.3257011362341,0.2455075044607229,False,0.21563310990881038,True,1.3849300853541335
6469,ep000024,870,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,6,1.8095975919023977,0.326648254487563,1.4829493374148348,0.8194912195124201,675.5366311492996,0.2405880993985971,False,0.21563310990881038,True,1.3751327824604296
6469,ep000024,870,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,5,1.8095975919023977,0.3463058428036493,1.4632917490987485,0.8086282583745129,786.9866880189119,0.2636042799905406,True,0.19795347132195812,True,1.3643150134377695
6469,ep000024,870,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,5,1.8095975919023977,0.3463058428036493,1.4632917490987485,0.8086282583745129,786.9866880189119,0.2636042799905406,False,0.19795347132195812,True,1.3643150134377695
1990,ep000009,48,b'',b'',750,8,6,1.92666921894338,0.5117042488929162,1.4149649700504636,0.7344099112282781,411.4618707955459,0.333730723677187,False,0.21563310990881038,True,1.3071484150960584
6470,ep000024,871,b'Put the tissues in the rubbish bin.',b'Put the tissues in the rubbish bin.',750,8,5,1.880848554370647,0.4979264744693943,1.3829220799012527,0.7352649827588027,517.283676583138,0.3211223390482732,False,0.19795347132195812,True,1.2839453442402737
